Country,Month,Temperature,Humidity
Democratic Republic of the Congo,August,30.24,22.5
Cabo Verde,May,45.45,30.37
Angola,August,36.46,16.75
Mauritania,June,33.78,83.46
Gambia,August,38.11,82.86
Zimbabwe,July,32.34,38.45
Rwanda,August,35.54,59.54
Congo,July,28.61,77.18
Guinea,August,48.07,66.17
Benin,August,28.53,48.17
Burkina Faso,July,44.88,17.83
Ivory Coast,August,25.65,24.05
Sudan,May,20.93,31.02
Guinea,July,41.34,43.59
Ivory Coast,July,46.9,27.84
Ivory Coast,August,26.18,56.77
Central African Republic,May,27.35,77.0
Burundi,May,46.55,80.16
Mauritania,June,34.65,81.47
Somalia,August,28.91,54.18
Madagascar,May,24.92,36.49
Somalia,August,25.22,37.43
Togo,July,27.66,12.14
South Sudan,June,25.38,56.25
Democratic Republic of the Congo,July,35.45,34.9
Central African Republic,May,31.99,53.47
Chad,July,39.5,28.73
Somalia,July,39.13,62.16
Sudan,August,36.37,33.58
Madagascar,July,29.57,81.46
Liberia,May,21.66,60.04
Benin,May,20.73,30.61
Benin,May,37.52,61.41
Rwanda,May,25.23,83.07
Djibouti,June,27.71,78.53
Libya,May,25.77,67.69
Senegal,July,43.2,78.96
Namibia,May,44.71,74.68
Namibia,August,43.3,33.8
Niger,May,31.29,30.58
South Africa,June,24.56,15.37
Cabo Verde,August,32.22,89.58
South Africa,June,42.81,24.31
Algeria,August,23.76,38.66
Burundi,August,30.87,56.09
Angola,August,48.42,71.46
Egypt,August,49.6,61.39
Gabon,August,36.96,80.26
Democratic Republic of the Congo,June,38.7,87.29
Cameroon,July,48.15,37.74
South Sudan,May,36.96,70.48
Sierra Leone,May,20.59,61.46
Nigeria,August,28.32,59.16
Burundi,May,40.21,41.49
Mauritania,July,21.11,74.26
South Sudan,July,45.54,33.52
Malawi,July,23.64,62.94
Mali,July,29.22,39.58
Guinea-Bissau,June,45.44,69.82
South Sudan,July,24.52,86.3
Morocco,July,48.31,25.2
Niger,July,20.65,82.89
Nigeria,June,40.86,15.83
Mauritania,August,33.29,32.22
Tanzania,June,27.97,53.45
Niger,August,33.9,71.17
Burkina Faso,July,25.59,70.82
Burkina Faso,August,30.5,77.82
Ivory Coast,May,27.13,40.01
Burundi,June,20.19,84.02
Mozambique,August,31.21,37.14
Nigeria,July,29.5,79.41
Liberia,May,21.91,54.78
Zambia,July,20.7,11.08
Mauritius,July,25.4,76.48
Lesotho,June,37.4,33.13
Algeria,May,37.33,70.14
Egypt,August,25.18,44.8
Liberia,July,42.68,33.96
Ivory Coast,July,29.54,10.91
Central African Republic,May,43.12,79.21
Congo,May,41.16,60.62
Ivory Coast,August,43.18,88.45
Ethiopia,May,49.59,73.92
Cabo Verde,July,25.83,78.23
Zimbabwe,May,27.7,81.83
Cabo Verde,August,41.22,42.23
Comoros,June,48.72,39.23
Tanzania,May,31.94,81.25
Togo,August,38.43,17.8
Ethiopia,May,29.8,19.42
Senegal,July,20.63,22.92
Gabon,May,21.32,28.04
Mozambique,August,26.86,88.0
Benin,May,28.33,13.24
Senegal,June,38.41,81.76
Tanzania,May,40.87,86.85
Burkina Faso,May,20.79,52.6
Zambia,August,49.54,80.82
Sao Tome and Principe,July,35.77,14.44
Equatorial Guinea,June,48.42,49.12
Zimbabwe,July,37.97,32.75
Zambia,May,38.71,13.03
Lesotho,June,22.47,54.96
Nigeria,May,24.43,15.93
Gambia,June,38.5,17.02
Zimbabwe,July,45.16,68.65
Tunisia,August,23.36,60.33
Tanzania,June,26.89,35.32
Tanzania,June,44.45,82.57
Ghana,August,49.04,68.69
Guinea,July,47.31,60.83
Ghana,June,48.86,25.42
Seychelles,June,26.38,60.08
Egypt,August,28.97,66.07
Seychelles,May,39.02,24.69
Chad,July,45.31,17.9
Senegal,May,36.87,89.96
Niger,July,37.96,79.47
Eritrea,May,32.02,31.81
Benin,June,36.16,31.19
Congo,June,26.95,49.53
Benin,August,30.98,28.83
Comoros,July,36.33,39.42
Mauritania,July,42.31,60.96
Rwanda,May,33.29,23.38
Liberia,July,40.32,18.49
Algeria,August,42.35,20.96
Guinea,May,28.01,47.02
Liberia,July,29.08,88.34
Mauritania,August,37.35,89.02
Togo,August,27.49,66.58
Eritrea,June,39.14,52.77
Gambia,May,20.62,70.94
Sudan,July,30.0,73.13
Eswatini,May,40.01,53.54
Zambia,August,41.34,13.27
Congo,June,36.59,82.09
Congo,June,22.81,57.15
Liberia,August,45.42,43.56
Tanzania,August,49.71,23.38
Sierra Leone,June,32.54,38.3
Algeria,August,39.85,40.28
Gabon,May,42.59,88.25
Angola,June,30.26,52.52
Sierra Leone,May,39.65,32.75
Uganda,July,36.92,65.56
Gambia,June,44.18,31.41
Congo,May,35.95,87.95
Liberia,May,49.97,79.11
Liberia,July,22.68,25.71
Sierra Leone,June,47.41,84.84
Seychelles,August,33.22,68.34
Djibouti,June,41.47,84.83
Libya,August,45.13,26.54
Congo,May,34.31,26.03
South Africa,August,24.98,57.98
Kenya,May,34.9,81.03
Ghana,July,46.02,35.15
Djibouti,June,41.48,47.66
Cameroon,August,32.29,55.39
Guinea-Bissau,May,45.19,45.71
Nigeria,August,27.08,49.28
South Sudan,June,38.73,60.66
Zambia,May,34.26,84.98
Lesotho,July,30.8,79.97
Lesotho,July,21.3,37.48
Eswatini,July,27.78,81.12
Ivory Coast,June,40.53,66.03
Cameroon,June,47.44,42.46
Namibia,August,32.62,45.33
South Sudan,July,22.12,89.42
Mozambique,June,40.05,36.36
Congo,June,45.06,25.35
Namibia,July,44.97,87.39
Mozambique,August,24.2,31.88
Togo,May,35.6,18.62
Chad,June,43.59,79.0
Comoros,August,21.03,88.18
Rwanda,July,26.91,43.96
Guinea-Bissau,August,35.55,12.74
Chad,May,46.84,48.29
Burundi,May,42.51,35.62
Egypt,July,49.54,59.15
Equatorial Guinea,June,31.67,33.27
Chad,August,46.99,18.04
Central African Republic,May,22.65,30.99
Mali,August,25.56,39.11
Namibia,August,20.82,86.74
Eswatini,May,26.1,65.41
Lesotho,June,45.55,29.88
Cameroon,August,48.64,57.55
Rwanda,June,24.85,69.71
Nigeria,July,37.17,32.27
Nigeria,May,25.51,85.54
Benin,August,33.97,60.21
Libya,July,30.75,60.55
Madagascar,August,37.15,80.4
Central African Republic,August,42.37,78.58
Eritrea,June,29.34,85.85
Uganda,May,22.1,22.31
Morocco,June,49.5,36.56
Kenya,August,22.55,72.04
Cabo Verde,May,41.28,54.88
Ghana,July,33.49,20.1
South Sudan,June,38.93,28.97
Liberia,June,28.62,35.06
Malawi,July,30.49,13.61
Burundi,May,26.93,35.21
Somalia,August,45.49,12.75
Central African Republic,May,20.01,48.84
Liberia,August,41.23,71.0
Sudan,August,20.51,12.41
Morocco,May,39.35,48.24
Comoros,July,45.19,40.59
Malawi,July,48.82,85.78
Malawi,August,23.06,62.23
Liberia,August,26.0,84.18
Sudan,June,42.91,58.05
Namibia,August,35.28,42.83
Burundi,June,42.22,36.93
Uganda,August,28.9,56.76
Algeria,May,48.5,26.56
Central African Republic,August,42.09,89.69
South Africa,June,47.47,44.68
Rwanda,June,26.21,23.57
Sao Tome and Principe,July,31.21,43.82
Mauritania,July,30.15,23.12
Cabo Verde,June,22.68,67.78
Egypt,July,21.15,31.07
Equatorial Guinea,August,23.24,57.76
Nigeria,August,30.3,43.3
Algeria,August,23.68,33.71
Guinea-Bissau,May,37.05,76.07
Egypt,May,26.83,51.78
Niger,June,41.48,38.09
Congo,July,23.23,75.39
Cameroon,August,29.96,87.64
Somalia,July,47.9,42.5
Zambia,June,39.23,41.53
Niger,May,43.66,55.09
Lesotho,August,47.31,49.46
Eritrea,July,34.39,48.9
Mozambique,July,40.06,49.01
Seychelles,May,48.35,65.94
Morocco,June,20.86,37.47
Gambia,July,41.85,15.22
Ethiopia,August,30.87,41.35
Cabo Verde,June,40.99,37.92
Burkina Faso,August,25.44,15.77
Tunisia,July,28.18,51.61
Namibia,July,29.0,77.79
Liberia,June,33.66,41.03
Congo,August,41.97,55.03
Sudan,July,46.72,54.77
Ghana,June,28.63,72.38
Sudan,July,39.15,75.06
Mauritania,August,46.64,57.29
Nigeria,July,37.45,67.22
Kenya,August,44.19,14.06
South Africa,August,21.21,83.67
South Sudan,August,30.12,23.87
Senegal,August,28.17,28.31
Ghana,June,21.04,56.27
Sierra Leone,June,39.96,80.09
Angola,June,48.57,29.71
Niger,May,25.54,78.2
Seychelles,July,21.7,14.49
Angola,July,30.97,65.83
Eritrea,May,31.55,72.09
Lesotho,July,37.48,11.08
Cameroon,August,23.45,41.55
Lesotho,May,22.38,48.49
Eswatini,May,23.62,38.75
Senegal,May,34.74,16.11
South Sudan,August,43.86,23.14
Guinea,May,20.35,85.06
Cabo Verde,June,33.52,34.57
Lesotho,June,36.18,78.14
Morocco,August,36.17,10.23
Mauritius,July,49.09,11.8
Cabo Verde,August,32.93,40.75
Tunisia,June,34.35,84.34
Sao Tome and Principe,June,41.53,26.19
Madagascar,July,24.5,49.64
Algeria,May,45.04,12.94
Eritrea,June,31.56,36.23
Niger,May,25.13,18.02
Seychelles,July,38.03,88.68
Djibouti,May,49.69,49.26
Democratic Republic of the Congo,August,24.48,80.87
Central African Republic,May,37.25,65.18
Tanzania,July,26.91,19.94
Burundi,August,21.59,11.48
Sierra Leone,June,27.77,15.88
Algeria,July,27.79,56.9
Ethiopia,August,23.8,55.51
Rwanda,May,33.33,38.8
Democratic Republic of the Congo,August,26.87,62.68
Seychelles,May,46.93,57.57
Central African Republic,August,44.33,26.73
Morocco,August,26.17,67.14
Congo,May,47.63,42.6
Kenya,June,20.14,10.82
Seychelles,June,38.87,26.97
Madagascar,July,27.89,64.73
Cameroon,July,30.14,89.2
Gambia,May,23.86,68.4
Congo,May,37.2,39.57
Sudan,June,33.57,86.34
Niger,May,41.35,57.17
Egypt,May,26.14,46.9
Mali,May,26.05,36.89
Malawi,June,38.76,41.45
Rwanda,August,49.28,43.97
Malawi,August,30.83,38.23
Sao Tome and Principe,May,43.57,72.52
Central African Republic,May,48.14,72.59
Botswana,May,23.32,42.18
Angola,May,41.06,28.91
Sudan,July,38.82,60.11
Liberia,June,41.96,58.03
Kenya,June,25.65,75.59
Guinea-Bissau,May,37.22,88.63
Algeria,July,33.46,57.24
Ethiopia,May,44.99,74.82
Mali,June,27.98,26.88
Cabo Verde,May,42.75,56.32
Guinea-Bissau,August,22.02,85.17
Gambia,May,20.84,88.98
Liberia,June,48.25,48.69
Namibia,July,25.67,64.12
Central African Republic,June,48.96,14.51
Benin,May,21.2,26.08
Djibouti,August,45.35,70.61
Morocco,July,34.04,76.82
Chad,July,27.18,65.83
Burkina Faso,August,44.13,52.2
Zambia,May,48.79,53.68
Senegal,May,33.01,27.48
Cabo Verde,May,46.07,47.09
Togo,July,34.0,13.05
Tunisia,June,25.27,69.77
Chad,August,29.79,65.41
Tunisia,August,40.19,55.17
Somalia,May,31.32,54.54
Tunisia,May,23.78,75.73
Botswana,June,41.79,27.45
Mauritius,May,43.39,73.59
Lesotho,July,31.23,45.78
Madagascar,May,29.24,41.25
Democratic Republic of the Congo,May,32.57,58.46
Mali,August,35.69,67.46
South Sudan,August,32.12,11.28
Lesotho,May,34.49,75.6
Ethiopia,June,22.45,79.81
Madagascar,June,37.49,38.81
Chad,May,49.67,14.58
Somalia,May,24.89,60.31
Guinea,June,29.05,36.88
Burkina Faso,May,37.48,41.47
Comoros,August,49.69,59.98
Liberia,June,45.89,86.78
Egypt,June,45.46,49.6
Equatorial Guinea,July,27.59,18.89
Guinea,July,47.47,56.37
Mauritius,May,27.14,82.91
Sudan,June,48.04,64.6
Morocco,August,20.71,10.28
Zambia,July,41.73,64.13
Mali,June,29.66,58.65
Comoros,May,47.6,75.27
Somalia,July,30.04,80.85
Libya,July,36.65,40.52
Morocco,May,37.31,19.21
Zambia,May,22.91,71.52
Liberia,August,29.73,15.37
Rwanda,June,21.2,66.71
Comoros,August,36.61,75.74
Eswatini,June,35.16,18.14
Guinea-Bissau,June,48.71,79.15
Tunisia,June,40.17,42.35
Togo,July,46.51,29.82
Botswana,August,32.58,26.63
Madagascar,July,42.47,27.94
Kenya,July,43.04,71.78
Botswana,July,45.73,44.96
Egypt,May,36.07,59.68
Togo,July,23.72,52.96
Tunisia,May,25.84,30.16
Niger,July,27.8,84.69
Ethiopia,August,35.58,33.66
South Africa,May,43.02,71.5
Kenya,July,31.35,41.8
Mauritius,July,34.96,71.96
Mauritania,July,42.8,61.68
Libya,August,25.76,48.32
Madagascar,August,40.97,26.41
Mali,July,40.62,20.81
Namibia,May,35.15,64.52
Tanzania,August,45.67,47.2
Algeria,July,27.05,54.34
Uganda,July,49.29,77.9
Kenya,June,24.17,73.93
Libya,May,21.43,42.65
South Sudan,August,47.85,20.2
Senegal,July,28.3,54.38
Ethiopia,July,32.07,45.4
Sierra Leone,May,49.26,50.95
Malawi,July,34.08,73.57
Liberia,August,36.05,53.24
Mauritania,July,33.9,75.6
Lesotho,May,34.97,24.32
Ghana,August,36.0,51.55
Ethiopia,July,34.14,27.98
Mozambique,May,37.32,65.46
Democratic Republic of the Congo,June,38.49,27.55
Mali,June,36.38,15.96
Central African Republic,May,34.73,39.55
Madagascar,July,48.82,31.23
Senegal,May,42.32,80.34
Uganda,June,43.39,66.6
Chad,May,48.75,22.9
Mozambique,May,23.01,14.01
Mozambique,June,28.56,25.5
Somalia,May,35.04,30.6
Malawi,July,46.83,61.7
Liberia,May,33.59,87.9
Mauritius,May,47.53,57.18
Gambia,May,35.82,82.1
Mali,July,33.22,69.18
Madagascar,August,20.28,56.59
Burkina Faso,July,24.23,63.88
Cabo Verde,June,27.71,76.1
Gabon,June,26.33,72.9
Angola,June,42.75,25.0
Cameroon,May,29.05,51.12
Senegal,July,45.53,19.92
Guinea-Bissau,July,21.27,29.82
Somalia,June,39.05,49.77
Malawi,July,29.35,44.42
Morocco,August,40.25,46.08
Algeria,June,25.38,18.63
Democratic Republic of the Congo,June,40.59,67.16
South Sudan,August,46.83,19.13
Senegal,July,49.83,88.2
Cabo Verde,July,45.48,69.66
Libya,May,24.39,52.97
Rwanda,June,49.52,20.48
Sao Tome and Principe,May,38.93,55.77
Zambia,August,29.22,41.67
Senegal,July,27.49,38.01
Benin,May,40.17,42.71
Senegal,July,44.04,63.25
Zimbabwe,August,25.85,64.1
Sudan,May,40.81,24.58
Benin,July,48.88,72.33
Seychelles,June,30.57,51.39
Niger,July,21.14,38.59
Algeria,June,26.19,45.22
Tunisia,June,28.75,45.55
Algeria,July,41.01,10.88
Zimbabwe,May,21.5,84.22
Burundi,May,29.42,55.91
Eswatini,July,42.65,68.56
Angola,August,45.94,75.27
Eswatini,July,30.52,62.92
Zambia,May,45.75,66.79
Eswatini,August,32.83,50.11
Libya,July,41.13,67.2
Lesotho,August,24.32,81.79
Algeria,July,21.43,20.43
Senegal,June,49.84,65.97
Senegal,June,27.49,34.99
Sierra Leone,August,33.85,83.11
Egypt,June,26.87,56.32
Tunisia,August,23.6,18.14
Seychelles,May,35.06,57.62
Libya,May,40.5,43.35
Niger,May,28.55,63.97
Cameroon,August,34.13,16.62
Angola,May,49.77,34.41
Democratic Republic of the Congo,July,48.07,10.72
Tanzania,May,46.45,62.79
Mauritius,May,29.26,64.11
Djibouti,June,36.33,64.29
Senegal,May,42.05,55.39
Congo,August,23.24,41.68
Congo,July,37.8,27.97
Congo,June,37.7,34.43
Djibouti,May,42.72,44.23
Congo,July,41.41,48.03
Morocco,May,39.93,88.95
Morocco,July,35.0,16.24
Cabo Verde,August,44.87,62.4
Mozambique,May,34.95,43.22
Zambia,June,40.19,32.81
Cameroon,June,49.34,18.33
Ethiopia,August,45.65,36.76
Tunisia,August,47.92,60.77
Ethiopia,August,44.57,75.14
Seychelles,August,37.22,31.54
Burundi,August,45.42,36.33
Congo,May,36.66,47.46
Sudan,June,21.37,38.96
Malawi,July,49.65,70.77
Egypt,August,26.59,82.36
Mauritania,July,47.18,49.4
Sao Tome and Principe,May,32.65,30.25
Sao Tome and Principe,August,38.16,76.5
Libya,June,25.15,19.33
Somalia,July,36.91,12.71
Mali,August,32.99,86.83
Chad,June,40.71,89.05
Namibia,August,24.85,44.31
Djibouti,June,41.53,65.42
Rwanda,July,30.59,29.48
Equatorial Guinea,May,38.22,73.96
Eritrea,August,46.98,55.37
Mauritania,July,38.78,30.03
Mozambique,May,47.61,49.26
Zambia,June,25.65,52.36
Cameroon,June,33.32,49.16
Eswatini,August,35.37,35.49
Botswana,May,44.14,61.87
Egypt,June,38.45,78.7
Cabo Verde,July,47.35,81.7
Congo,August,36.52,48.43
Madagascar,June,44.63,60.42
Equatorial Guinea,June,26.9,32.69
Lesotho,May,41.81,89.14
Central African Republic,July,20.53,42.06
Sao Tome and Principe,July,26.96,41.36
Namibia,July,38.53,37.54
Equatorial Guinea,May,46.49,72.58
Togo,August,38.62,25.27
Tanzania,July,39.55,40.53
Chad,August,35.64,42.26
Morocco,July,25.21,43.54
Somalia,May,28.54,69.32
Niger,June,39.23,15.87
South Sudan,August,32.21,30.4
Eswatini,May,47.04,25.56
Gambia,June,29.73,27.74
Madagascar,June,33.67,55.49
Libya,July,38.74,53.24
Cameroon,August,38.3,45.3
Sudan,July,24.05,45.47
Seychelles,June,39.92,42.53
South Sudan,August,48.18,24.59
Gambia,July,25.27,21.59
South Africa,June,31.11,24.05
Guinea-Bissau,July,43.75,52.91
Botswana,July,40.01,56.39
Egypt,July,26.02,25.07
Guinea,July,48.2,24.79
Guinea,August,44.18,26.29
Equatorial Guinea,June,31.98,24.64
Ethiopia,June,24.43,71.47
Angola,May,28.4,87.48
Guinea-Bissau,August,46.82,86.56
Egypt,August,27.75,44.79
Equatorial Guinea,May,45.86,28.08
Madagascar,June,43.12,39.53
Angola,June,42.74,70.68
Rwanda,May,21.62,89.98
Tanzania,June,38.32,88.08
Mozambique,July,30.86,70.82
Zimbabwe,May,34.64,74.85
Ghana,June,32.36,23.7
Cameroon,July,38.47,86.29
Malawi,June,40.23,84.43
Botswana,May,48.33,65.3
Morocco,May,21.65,60.27
Burkina Faso,June,44.52,19.34
Namibia,June,49.97,81.33
Ivory Coast,May,43.39,67.69
Burkina Faso,August,34.56,47.97
Guinea-Bissau,May,25.47,47.42
Democratic Republic of the Congo,May,25.41,88.09
Cameroon,May,35.65,89.1
Cabo Verde,June,49.63,55.87
Mozambique,May,22.38,46.83
Comoros,July,23.07,25.87
Lesotho,June,44.65,87.84
Congo,May,44.8,30.66
Mali,May,39.49,55.96
Democratic Republic of the Congo,June,23.84,76.86
Togo,June,34.77,66.53
Mozambique,May,20.14,68.88
South Africa,July,20.25,78.77
Algeria,May,39.1,61.16
Seychelles,June,43.18,66.12
Togo,August,34.22,82.12
Congo,July,30.61,73.86
Sierra Leone,June,38.81,66.28
Botswana,May,35.25,75.32
Malawi,July,31.88,63.58
Mali,June,43.29,47.58
Botswana,June,49.6,36.64
Benin,August,42.9,50.55
Burkina Faso,July,24.84,21.6
Eswatini,August,31.52,82.51
Algeria,July,35.65,74.34
Benin,May,23.92,72.49
South Africa,July,38.98,74.86
Guinea-Bissau,July,49.14,75.35
Mozambique,May,25.17,70.44
Uganda,June,23.77,44.48
Gambia,July,23.39,43.14
Mauritius,May,46.49,78.0
Burkina Faso,July,47.66,73.46
Libya,August,20.5,76.05
Congo,July,42.98,88.08
Togo,June,22.75,78.19
Namibia,July,30.65,21.24
Guinea-Bissau,August,28.31,45.5
Rwanda,May,35.48,23.68
Angola,May,36.34,65.18
Togo,May,45.8,58.6
Rwanda,July,44.14,26.29
Madagascar,May,21.45,87.38
Guinea,July,42.58,10.92
Malawi,June,22.56,11.14
Cameroon,August,28.53,67.66
Sierra Leone,August,34.8,72.9
Zambia,May,26.81,30.66
South Sudan,July,43.27,61.04
Uganda,May,40.41,65.14
South Sudan,July,42.95,64.8
Cameroon,July,39.4,19.77
Nigeria,June,45.55,22.75
Djibouti,August,36.04,60.62
Uganda,June,46.17,62.39
Liberia,May,48.6,85.84
Tunisia,May,26.57,28.77
Sao Tome and Principe,August,40.75,23.95
Morocco,June,25.51,68.55
Eritrea,May,24.7,15.02
South Sudan,June,39.64,74.68
Angola,May,38.44,23.48
Sudan,August,20.38,33.77
Equatorial Guinea,May,37.39,51.99
Burkina Faso,August,28.17,18.94
Comoros,June,34.09,53.18
Angola,June,21.81,45.65
Benin,July,47.23,26.43
Angola,May,26.13,71.25
Tunisia,August,40.31,26.1
Botswana,July,25.21,59.36
Seychelles,August,22.79,11.73
Benin,May,22.9,71.18
Comoros,May,31.31,87.26
Djibouti,July,25.87,39.17
Central African Republic,August,31.54,30.43
Central African Republic,July,27.38,55.48
Ghana,August,49.4,16.09
Kenya,July,32.37,25.49
Guinea,May,25.56,55.49
Djibouti,August,21.2,87.95
Gambia,August,23.02,88.49
Zambia,June,24.28,53.2
Chad,May,23.6,51.3
Rwanda,July,21.23,10.43
Comoros,August,40.14,31.13
Libya,June,25.21,82.91
Ivory Coast,August,22.82,53.76
Tunisia,August,33.83,49.7
Togo,July,38.13,48.5
Lesotho,June,34.49,12.52
Burkina Faso,August,48.95,20.93
Zambia,May,27.33,53.85
Namibia,July,34.74,37.68
South Africa,May,37.79,40.95
Liberia,May,41.74,89.36
Guinea,June,29.37,86.32
Lesotho,August,34.11,85.63
Sao Tome and Principe,May,36.84,48.5
Somalia,August,46.52,14.36
Mauritius,August,24.3,84.51
Nigeria,August,34.76,40.26
Ivory Coast,July,41.32,49.42
Zimbabwe,August,26.07,18.28
Angola,May,44.15,60.7
South Africa,June,43.3,59.42
Burkina Faso,June,24.05,11.96
Zambia,August,24.25,32.27
South Africa,June,42.93,48.7
Mozambique,July,46.11,71.43
South Africa,July,29.56,57.15
Botswana,June,32.01,76.33
South Africa,May,37.72,76.25
Ethiopia,June,43.44,63.64
Lesotho,August,44.38,31.03
Congo,August,33.88,45.62
Congo,June,49.94,50.92
South Africa,May,34.6,49.95
Tanzania,August,35.88,61.4
Zambia,July,35.75,25.52
Rwanda,June,39.9,77.56
Mauritania,June,49.92,21.9
Togo,June,22.95,33.52
Mali,May,31.51,22.41
Angola,June,22.79,22.41
Rwanda,July,44.15,35.62
Kenya,July,37.67,25.41
Mauritius,August,42.03,66.64
Botswana,May,38.32,71.67
Zimbabwe,May,49.17,51.7
Madagascar,May,41.84,59.14
Tanzania,June,38.89,20.14
Chad,August,30.84,84.94
Sudan,August,27.31,66.36
Burkina Faso,May,23.81,72.9
Tunisia,May,24.69,77.63
Angola,July,41.22,77.21
Benin,June,24.41,77.68
Morocco,May,47.43,19.69
Comoros,July,32.26,26.2
Uganda,July,23.75,21.12
Guinea-Bissau,August,47.05,60.06
Lesotho,July,32.03,40.81
Congo,August,49.81,65.3
Cabo Verde,May,48.62,56.93
South Sudan,May,44.38,15.64
Mauritius,May,44.12,40.73
Sao Tome and Principe,July,25.71,11.37
Angola,May,40.76,19.34
Mauritania,June,43.82,83.04
Libya,June,40.26,15.09
South Sudan,August,20.8,24.88
Madagascar,July,23.44,88.99
Somalia,June,24.74,71.42
Burkina Faso,August,42.37,40.64
Ethiopia,August,26.53,24.31
Sudan,May,21.05,64.54
Gambia,June,20.48,55.35
Democratic Republic of the Congo,July,24.46,61.69
Chad,May,27.71,68.05
Sudan,June,35.75,33.92
Gabon,August,49.18,19.41
Niger,May,40.01,49.02
Cabo Verde,August,32.16,62.2
Ghana,June,32.27,67.68
Mauritania,May,38.06,26.77
Tunisia,June,28.11,35.51
Mauritius,July,37.35,12.81
Eswatini,July,26.2,37.55
Central African Republic,July,31.49,51.02
Algeria,May,34.41,79.68
Algeria,August,40.64,53.5
Morocco,June,21.15,28.34
Democratic Republic of the Congo,June,21.44,70.99
Comoros,August,22.77,60.69
Guinea-Bissau,June,47.31,24.88
Chad,May,37.62,33.07
Malawi,July,32.87,34.49
Gabon,August,24.31,52.03
Lesotho,July,23.36,75.53
Democratic Republic of the Congo,July,27.99,58.36
Tunisia,May,45.67,70.33
Botswana,August,41.73,19.05
Burkina Faso,August,33.2,68.61
Cameroon,August,38.56,41.54
Angola,May,24.81,86.18
Eritrea,July,27.88,26.66
South Africa,July,21.31,59.26
Eswatini,May,22.62,23.64
Kenya,June,20.53,49.45
Eswatini,August,43.51,83.39
Nigeria,June,48.17,42.56
Equatorial Guinea,June,29.07,66.51
Seychelles,June,27.38,11.01
Gambia,August,34.98,61.33
Somalia,August,29.05,18.18
Morocco,May,25.92,39.64
Togo,August,32.3,83.55
Guinea,May,46.97,55.91
Mozambique,May,21.7,46.07
Senegal,May,30.25,87.67
Malawi,August,42.94,17.8
Malawi,July,28.16,10.7
Burkina Faso,August,30.63,29.07
